                                                         Overall                                                    OH_adsorption                                                    OH_desorption                                                     CO_oxidation
                         79860                          40236                          30896                           8728
configuration                   56                83235         2.7499999999999982E+00
        3.3038964255423410E-05         3.4039484020550213E-05         2.4688608437385017E-05         5.8903759957729316E-05
                         83235                          41932                          32449                           8854
configuration                   57                86720         2.7999999999999980E+00
        3.2287796138762647E-05         3.3271590943404054E-05         2.4182896726405675E-05         5.8356404850249165E-05
                         86720                          43651                          34111                           8958
configuration                   58                90215         2.8499999999999979E+00
        3.1591128232151348E-05         3.2535413654987812E-05         2.3724754873016108E-05         5.7889459621140803E-05
                         90215                          45434                          35726                           9055
configuration                   59                93748         2.8999999999999977E+00
        3.0933742297590694E-05         3.1846914628098973E-05         2.3298467371562366E-05         5.7394738943496819E-05
                         93748                          47210                          37381                           9157
configuration                   60                97269         2.9499999999999975E+00
        3.0328009283659817E-05         3.1207809423759925E-05         2.2920533585847027E-05         5.6939266701120144E-05
                         97269                          48972                          39047                           9250
configuration                   61               100657         2.9999999999999973E+00
        2.9804171371820385E-05         3.0673588680319602E-05         2.2583278550748602E-05         5.6552692230232191E-05
                        100657                          50657                          40668                           9332
