               Entry              Nevents                           Time                    Temperature                         Energy                 CO*                  OH*                   OH                  CO2
                  37                66615         3.6000000000000019E+00         1.0320000000000000E+01        -1.1380500000000047E+03                   0                  843                 1653                    0
                  38                69965         3.7000000000000020E+00         1.0315000000000000E+01        -1.0273500000000122E+03                   0                  761                 1735                    0
                  39                73045         3.8000000000000020E+00         1.0310000000000000E+01        -8.3835000000000923E+02                   0                  621                 1875                    0
                  40                75992         3.9000000000000021E+00         1.0305000000000000E+01        -7.2900000000000739E+02                   0                  540                 1956                    0
                  41                78857         4.0000000000000018E+00         1.0300000000000001E+01        -6.7635000000000650E+02                   0                  501                 1995                    0
                  42                81618         4.1000000000000014E+00         1.0295000000000000E+01        -5.5620000000000448E+02                   0                  412                 2084                    0
                  43                84115         4.2000000000000011E+00         1.0289999999999999E+01        -4.4955000000000268E+02                   0                  333                 2163                    0
                  44                86365         4.3000000000000007E+00         1.0285000000000000E+01        -3.9825000000000182E+02                   0                  295                 2201                    0
                  45                88482         4.4000000000000004E+00         1.0279999999999999E+01        -3.1860000000000048E+02                   0                  236                 2260                    0
                  46                90483         4.5000000000000000E+00         1.0275000000000000E+01        -2.6864999999999964E+02                   0                  199                 2297                    0
                  47                92365         4.5999999999999996E+00         1.0270000000000000E+01        -2.1464999999999961E+02                   0                  159                 2337                    0
                  48                93993         4.6999999999999993E+00         1.0265000000000001E+01        -1.7414999999999978E+02                   0                  129                 2367                    0
                  49                95590         4.7999999999999989E+00         1.0260000000000000E+01        -1.6469999999999982E+02                   0                  122                 2374                    0
                  50                97034         4.8999999999999986E+00         1.0255000000000001E+01        -1.2419999999999999E+02                   0                   92                 2404                    0
                  51                98364         4.9999999999999982E+00         1.0250000000000000E+01        -1.2419999999999999E+02                   0                   92                 2404                    0
                  52                99633         5.0999999999999979E+00         1.0245000000000001E+01        -9.3150000000000119E+01                   0                   69                 2427                    0
                  53               100723         5.1999999999999975E+00         1.0240000000000000E+01        -7.9650000000000176E+01                   0                   59                 2437                    0
                  54               101727         5.2999999999999972E+00         1.0234999999999999E+01        -6.3450000000000237E+01                   0                   47                 2449                    0
                  55               102623         5.3999999999999968E+00         1.0230000000000000E+01        -3.6450000000000209E+01                   0                   27                 2469                    0
                  56               103419         5.4999999999999964E+00         1.0225000000000000E+01        -4.4550000000000217E+01                   0                   33                 2463                    0
                  57               104122         5.5999999999999961E+00         1.0220000000000001E+01        -2.7000000000000199E+01                   0                   20                 2476                    0
                  58               104762         5.6999999999999957E+00         1.0215000000000000E+01        -2.4300000000000196E+01                   0                   18                 2478                    0
                  59               105376         5.7999999999999954E+00         1.0210000000000001E+01        -2.1600000000000193E+01                   0                   16                 2480                    0
                  60               105944         5.8999999999999950E+00         1.0205000000000000E+01        -1.6200000000000188E+01                   0                   12                 2484                    0
                  61               106450         5.9999999999999947E+00         1.0200000000000001E+01        -1.8900000000000190E+01                   0                   14                 2482                    0
                  62               106953         6.0999999999999943E+00         1.0195000000000000E+01        -9.4500000000001894E+00                   0                    7                 2489                    0
                  63               107369         6.1999999999999940E+00         1.0190000000000000E+01        -4.0500000000001908E+00                   0                    3                 2493                    0
                  64               107775         6.2999999999999936E+00         1.0185000000000000E+01        -6.7500000000001901E+00                   0                    5                 2491                    0
                  65               108137         6.3999999999999932E+00         1.0180000000000000E+01        -9.4500000000001894E+00                   0                    7                 2489                    0
