                                                         Overall                                                    OH_adsorption                                                    OH_desorption                                                     CO_oxidation
configuration                   49                95590         4.7999999999999989E+00
        5.0213704858865680E-05         5.0278996995690855E-05         5.0151577221914013E-05         0.0000000000000000E+00
                         95590                          46608                          48982                              0
configuration                   50                97034         4.8999999999999986E+00
        5.0497639397763273E-05         5.0575029936160331E-05         5.0423990826305959E-05         0.0000000000000000E+00
                         97034                          47315                          49719                              0
configuration                   51                98364         4.9999999999999982E+00
        5.0830174720881751E-05         5.0886294383163320E-05         5.0776732727465070E-05         0.0000000000000000E+00
                         98364                          47980                          50384                              0
configuration                   52                99633         5.0999999999999979E+00
        5.1187514627400803E-05         5.1246321841420800E-05         5.1131504299690727E-05         0.0000000000000000E+00
                         99633                          48603                          51030                              0
configuration                   53               100723         5.1999999999999975E+00
        5.1625839137817407E-05         5.1684651354653192E-05         5.1569805621493419E-05         0.0000000000000000E+00
                        100723                          49143                          51580                              0
configuration                   54               101727         5.2999999999999972E+00
        5.2099718418276675E-05         5.2132165870555262E-05         5.2068796534470472E-05         0.0000000000000000E+00
                        101727                          49639                          52088                              0
configuration                   55               102623         5.3999999999999968E+00
        5.2618118964941918E-05         5.2700912567517342E-05         5.2539215618612862E-05         0.0000000000000000E+00
                        102623                          50077                          52546                              0
configuration                   56               103419         5.4999999999999964E+00
        5.3178803006359843E-05         5.3323901062803633E-05         5.3040455417662783E-05         0.0000000000000000E+00
                        103419                          50478                          52941                              0
configuration                   57               104122         5.5999999999999961E+00
        5.3782654759001420E-05         5.3945828146476673E-05         5.3627061575795312E-05         0.0000000000000000E+00
                        104122                          50823                          53299                              0
configuration                   58               104762         5.6999999999999957E+00
        5.4408413711428408E-05         5.4590680303445411E-05         5.4234570405777891E-05         0.0000000000000000E+00
                        104762                          51142                          53620                              0
configuration                   59               105376         5.7999999999999954E+00
        5.5034656017655992E-05         5.5243477071102505E-05         5.4835438068579993E-05         0.0000000000000000E+00
                        105376                          51448                          53928                              0
configuration                   60               105944         5.8999999999999950E+00
        5.5688095228355156E-05         5.5851779186326332E-05         5.5531911011254275E-05         0.0000000000000000E+00
                        105944                          51730                          54214                              0
configuration                   61               106450         5.9999999999999947E+00
        5.6364234236436723E-05         5.6644772648792760E-05         5.6096479879076614E-05         0.0000000000000000E+00
                        106450                          51984                          54466                              0
configuration                   62               106953         6.0999999999999943E+00
        5.7034312477133066E-05         5.7310239063351741E-05         5.6770936488912249E-05         0.0000000000000000E+00
                        106953                          52232                          54721                              0
configuration                   63               107369         6.1999999999999940E+00
        5.7744390202302010E-05         5.7992861354324946E-05         5.7507195717041684E-05         0.0000000000000000E+00
                        107369                          52438                          54931                              0
configuration                   64               107775         6.2999999999999936E+00
        5.8445829911569304E-05         5.8789536181895055E-05         5.8117652858215818E-05         0.0000000000000000E+00
                        107775                          52642                          55133                              0
configuration                   65               108137         6.3999999999999932E+00
        5.9184177372238426E-05         5.9563877179461492E-05         5.8821563472851248E-05         0.0000000000000000E+00
                        108137                          52824                          55313                              0
configuration                   66               108456         6.4999999999999929E+00
        5.9927101859071793E-05         6.0319467160891551E-05         5.9552348541487184E-05         0.0000000000000000E+00
                        108456                          52983                          55473                              0
configuration                   67               108744         6.5999999999999925E+00
        6.0690541700692789E-05         6.1122187430932444E-05         6.0278236132985115E-05         0.0000000000000000E+00
                        108744                          53126                          55618                              0
configuration                   68               109005         6.6999999999999922E+00
        6.1463340506201920E-05         6.2023577759589031E-05         6.0928156105289953E-05         0.0000000000000000E+00
                        109005                          53256                          55749                              0
configuration                   69               109239         6.7999999999999918E+00
        6.2248788641732747E-05         6.2981202313647618E-05         6.1549058664444765E-05         0.0000000000000000E+00
                        109239                          53373                          55866                              0
configuration                   70               109410         6.8999999999999915E+00
        6.3062530277571813E-05         6.3874831730182345E-05         6.2286436285333578E-05         0.0000000000000000E+00
                        109410                          53458                          55952                              0
configuration                   71               109599         6.9999999999999911E+00
        6.3867884127587877E-05         6.4815147649282471E-05         6.2962756136698689E-05         0.0000000000000000E+00
                        109599                          53553                          56046                              0
configuration                   72               109769         7.0999999999999908E+00
        6.4681199804940293E-05         6.5808900132421851E-05         6.3603545825502520E-05         0.0000000000000000E+00
                        109769                          53639                          56130                              0
configuration                   73               109932         7.1999999999999904E+00
        6.5488082774592946E-05         6.6809747077026805E-05         6.4225056701220273E-05         0.0000000000000000E+00
                        109932                          53719                          56213                              0
configuration                   74               110084         7.2999999999999901E+00
        6.6312062958874819E-05         6.8008263304703253E-05         6.4691075191890469E-05         0.0000000000000000E+00
                        110084                          53794                          56290                              0
configuration                   75               110215         7.3999999999999897E+00
        6.7128704336159964E-05         6.9181389864621218E-05         6.5166897175074459E-05         0.0000000000000000E+00
                        110215                          53860                          56355                              0
configuration                   76               110334         7.4999999999999893E+00
        6.7965601109772097E-05         7.0305511099493835E-05         6.5729217049932369E-05         0.0000000000000000E+00
                        110334                          53919                          56415                              0
configuration                   77               110419         7.5999999999999890E+00
        6.8822209885937690E-05         7.1640206656367147E-05         6.6128748637094090E-05         0.0000000000000000E+00
                        110419                          53962                          56457                              0
configuration                   78               110524         7.6999999999999886E+00
        6.9664250999931603E-05         7.2838612479902553E-05         6.6630098443230134E-05         0.0000000000000000E+00
                        110524                          54014                          56510                              0
configuration                   79               110588         7.7999999999999883E+00
        7.0475943793794316E-05         7.4241043105219097E-05         6.6877051689070196E-05         0.0000000000000000E+00
                        110588                          54046                          56542                              0
configuration                   80               110679         7.8999999999999879E+00
        7.1371940705557631E-05         7.5755667813935603E-05         6.7181498258592337E-05         0.0000000000000000E+00
                        110679                          54092                          56587                              0
configuration                   81               110762         7.9999999999999876E+00
        7.2176095229853566E-05         7.7132179253439477E-05         6.7438457333213672E-05         0.0000000000000000E+00
                        110762                          54133                          56629                              0
